180 4
2 20 2583 40
40 2583 2582 41
41 2582 2581 42
42 2581 2580 43
43 2580 2579 44
44 2579 2578 45
45 2578 2577 46
46 2577 2576 47
47 2576 2575 48
48 2575 2574 49
49 2574 2573 50
50 2573 2572 51
51 2572 2571 52
52 2571 2570 53
53 2570 2569 54
54 2569 2568 55
55 2568 2567 56
56 2567 2566 57
57 2566 2565 58
58 2565 2564 59
59 2564 2563 60
60 2563 2562 61
61 2562 2561 62
62 2561 2560 63
63 2560 2559 64
64 2559 2558 65
65 2558 2557 66
66 2557 2556 67
67 2556 2555 68
68 2555 23 1
1 23 2750 69
69 2750 2749 70
70 2749 2748 71
71 2748 2747 72
72 2747 2746 73
73 2746 2745 74
74 2745 2744 75
75 2744 2743 76
76 2743 2742 77
77 2742 2741 78
78 2741 2740 79
79 2740 2739 80
80 2739 2738 81
81 2738 2737 82
82 2737 2736 83
83 2736 2735 84
84 2735 2734 85
85 2734 2733 86
86 2733 2732 87
87 2732 2731 88
88 2731 2730 89
89 2730 2729 90
90 2729 2728 91
91 2728 2727 92
92 2727 2726 93
93 2726 2725 94
94 2725 2724 95
95 2724 2723 96
96 2723 2722 97
97 2722 2721 98
98 2721 2720 99
99 2720 2719 100
100 2719 2718 101
101 2718 2717 102
102 2717 2716 103
103 2716 2715 104
104 2715 2714 105
105 2714 2713 106
106 2713 2712 107
107 2712 2711 108
108 2711 2710 109
109 2710 2709 110
110 2709 2708 111
111 2708 2707 112
112 2707 2706 113
113 2706 2705 114
114 2705 2704 115
115 2704 2703 116
116 2703 2702 117
117 2702 2701 118
118 2701 2700 119
119 2700 2699 120
120 2699 2698 121
121 2698 2697 122
122 2697 2696 123
123 2696 2695 124
124 2695 2694 125
125 2694 2693 126
126 2693 2692 127
127 2692 25 0
0 25 2857 128
128 2857 2856 129
129 2856 2855 130
130 2855 2854 131
131 2854 2853 132
132 2853 2852 133
133 2852 2851 134
134 2851 2850 135
135 2850 2849 136
136 2849 2848 137
137 2848 2847 138
138 2847 2846 139
139 2846 2845 140
140 2845 2844 141
141 2844 2843 142
142 2843 2842 143
143 2842 2841 144
144 2841 2840 145
145 2840 2839 146
146 2839 2838 147
147 2838 2837 148
148 2837 2836 149
149 2836 2835 150
150 2835 2834 151
151 2834 2833 152
152 2833 2832 153
153 2832 2831 154
154 2831 2830 155
155 2830 2829 156
156 2829 27 3
3 157 2858 27
157 158 2859 2858
158 159 2860 2859
159 160 2861 2860
160 161 2862 2861
161 162 2863 2862
162 163 2864 2863
163 164 2865 2864
164 165 2866 2865
165 166 2867 2866
166 167 2868 2867
167 168 2869 2868
168 169 2870 2869
169 170 2871 2870
170 171 2872 2871
171 172 2873 2872
172 173 2874 2873
173 174 2875 2874
174 175 2876 2875
175 176 2877 2876
176 177 2878 2877
177 178 2879 2878
178 179 2880 2879
179 180 2881 2880
180 181 2882 2881
181 182 2883 2882
182 183 2884 2883
183 184 2885 2884
184 185 2886 2885
185 186 2887 2886
186 187 2888 2887
187 188 2889 2888
188 189 2890 2889
189 190 2891 2890
190 191 2892 2891
191 192 2893 2892
192 193 2894 2893
193 194 2895 2894
194 195 2896 2895
195 196 2897 2896
196 197 2898 2897
197 198 2899 2898
198 199 2900 2899
199 200 2901 2900
200 201 2902 2901
201 202 2903 2902
202 203 2904 2903
203 204 2905 2904
204 205 2906 2905
205 206 2907 2906
206 207 2908 2907
207 208 2909 2908
208 209 2910 2909
209 210 2911 2910
210 211 2912 2911
211 212 2913 2912
212 213 2914 2913
213 214 2915 2914
214 215 2916 2915
215 2 20 2916
