1080 3
2731 1 0.000000
2731 2 0.000000
2732 0 0.000000
2732 1 0.000000
2732 2 0.000000
2733 0 0.000000
2733 1 0.000000
2733 2 0.000000
2734 0 0.000000
2734 1 0.000000
2734 2 0.000000
2735 0 0.000000
2735 1 0.000000
2735 2 0.000000
2736 0 0.000000
2736 1 0.000000
2736 2 0.000000
2737 0 0.000000
2737 1 0.000000
2737 2 0.000000
2738 0 0.000000
2738 1 0.000000
2738 2 0.000000
2739 0 0.000000
2739 1 0.000000
2739 2 0.000000
2740 0 0.000000
2740 1 0.000000
2740 2 0.000000
2741 0 0.000000
2741 1 0.000000
2741 2 0.000000
2742 0 0.000000
2742 1 0.000000
2742 2 0.000000
2743 0 0.000000
2743 1 0.000000
2743 2 0.000000
2744 0 0.000000
2744 1 0.000000
2744 2 0.000000
2745 0 0.000000
2745 1 0.000000
2745 2 0.000000
2746 0 0.000000
2746 1 0.000000
2746 2 0.000000
2747 0 0.000000
2747 1 0.000000
2747 2 0.000000
2748 0 0.000000
2748 1 0.000000
2748 2 0.000000
2749 0 0.000000
2749 1 0.000000
2749 2 0.000000
2750 0 0.000000
2750 1 0.000000
2750 2 0.000000
2829 0 0.000000
2829 1 0.000000
2829 2 0.000000
2830 0 0.000000
2830 1 0.000000
2830 2 0.000000
2831 0 0.000000
2831 1 0.000000
2831 2 0.000000
2832 0 0.000000
2832 1 0.000000
2832 2 0.000000
2833 0 0.000000
2833 1 0.000000
2833 2 0.000000
2834 0 0.000000
2834 1 0.000000
2834 2 0.000000
2835 0 0.000000
2835 1 0.000000
2835 2 0.000000
2836 0 0.000000
2836 1 0.000000
2836 2 0.000000
2837 0 0.000000
2837 1 0.000000
2837 2 0.000000
2838 0 0.000000
2838 1 0.000000
2838 2 0.000000
2839 0 0.000000
2839 1 0.000000
2839 2 0.000000
2840 0 0.000000
2840 1 0.000000
2840 2 0.000000
2841 0 0.000000
2841 1 0.000000
2841 2 0.000000
2842 0 0.000000
2842 1 0.000000
2842 2 0.000000
2843 0 0.000000
2843 1 0.000000
2843 2 0.000000
2844 0 0.000000
2844 1 0.000000
2844 2 0.000000
2845 0 0.000000
2845 1 0.000000
2845 2 0.000000
2846 0 0.000000
2846 1 0.000000
2846 2 0.000000
2847 0 0.000000
2847 1 0.000000
2847 2 0.000000
2848 0 0.000000
2848 1 0.000000
2848 2 0.000000
2849 0 0.000000
2849 1 0.000000
2849 2 0.000000
2850 0 0.000000
2850 1 0.000000
2850 2 0.000000
2851 0 0.000000
2851 1 0.000000
2851 2 0.000000
2852 0 0.000000
2852 1 0.000000
2852 2 0.000000
2853 0 0.000000
2853 1 0.000000
2853 2 0.000000
2854 0 0.000000
2854 1 0.000000
2854 2 0.000000
2855 0 0.000000
2855 1 0.000000
2855 2 0.000000
2856 0 0.000000
2856 1 0.000000
2856 2 0.000000
2857 0 0.000000
2857 1 0.000000
2857 2 0.000000
2858 0 0.000000
2858 1 0.000000
2858 2 0.000000
2859 0 0.000000
2859 1 0.000000
2859 2 0.000000
2860 0 0.000000
2860 1 0.000000
2860 2 0.000000
2861 0 0.000000
2861 1 0.000000
2861 2 0.000000
2862 0 0.000000
2862 1 0.000000
2862 2 0.000000
2863 0 0.000000
2863 1 0.000000
2863 2 0.000000
2864 0 0.000000
2864 1 0.000000
2864 2 0.000000
2865 0 0.000000
2865 1 0.000000
2865 2 0.000000
2866 0 0.000000
2866 1 0.000000
2866 2 0.000000
2867 0 0.000000
2867 1 0.000000
2867 2 0.000000
2868 0 0.000000
2868 1 0.000000
2868 2 0.000000
2869 0 0.000000
2869 1 0.000000
2869 2 0.000000
2870 0 0.000000
2870 1 0.000000
2870 2 0.000000
2871 0 0.000000
2871 1 0.000000
2871 2 0.000000
2872 0 0.000000
2872 1 0.000000
2872 2 0.000000
2873 0 0.000000
2873 1 0.000000
2873 2 0.000000
2874 0 0.000000
2874 1 0.000000
2874 2 0.000000
2875 0 0.000000
2875 1 0.000000
2875 2 0.000000
2876 0 0.000000
2876 1 0.000000
2876 2 0.000000
2877 0 0.000000
2877 1 0.000000
2877 2 0.000000
2878 0 0.000000
2878 1 0.000000
2878 2 0.000000
2879 0 0.000000
2879 1 0.000000
2879 2 0.000000
2880 0 0.000000
2880 1 0.000000
2880 2 0.000000
2881 0 0.000000
2881 1 0.000000
2881 2 0.000000
2882 0 0.000000
2882 1 0.000000
2882 2 0.000000
2883 0 0.000000
2883 1 0.000000
2883 2 0.000000
2884 0 0.000000
2884 1 0.000000
2884 2 0.000000
2885 0 0.000000
2885 1 0.000000
2885 2 0.000000
2886 0 0.000000
2886 1 0.000000
2886 2 0.000000
2887 0 0.000000
2887 1 0.000000
2887 2 0.000000
2888 0 0.000000
2888 1 0.000000
2888 2 0.000000
2889 0 0.000000
2889 1 0.000000
2889 2 0.000000
2890 0 0.000000
2890 1 0.000000
2890 2 0.000000
2891 0 0.000000
2891 1 0.000000
2891 2 0.000000
2892 0 0.000000
2892 1 0.000000
2892 2 0.000000
2893 0 0.000000
2893 1 0.000000
2893 2 0.000000
2894 0 0.000000
2894 1 0.000000
2894 2 0.000000
2895 0 0.000000
2895 1 0.000000
2895 2 0.000000
2896 0 0.000000
2896 1 0.000000
2896 2 0.000000
2897 0 0.000000
2897 1 0.000000
2897 2 0.000000
2898 0 0.000000
2898 1 0.000000
2898 2 0.000000
2899 0 0.000000
2899 1 0.000000
2899 2 0.000000
2900 0 0.000000
2900 1 0.000000
2900 2 0.000000
2901 0 0.000000
2901 1 0.000000
2901 2 0.000000
2902 0 0.000000
2902 1 0.000000
2902 2 0.000000
2903 0 0.000000
2903 1 0.000000
2903 2 0.000000
2904 0 0.000000
2904 1 0.000000
2904 2 0.000000
2905 0 0.000000
2905 1 0.000000
2905 2 0.000000
2906 0 0.000000
2906 1 0.000000
2906 2 0.000000
2907 0 0.000000
2907 1 0.000000
2907 2 0.000000
2908 0 0.000000
2908 1 0.000000
2908 2 0.000000
2909 0 0.000000
2909 1 0.000000
2909 2 0.000000
2910 0 0.000000
2910 1 0.000000
2910 2 0.000000
2911 0 0.000000
2911 1 0.000000
2911 2 0.000000
2912 0 0.000000
2912 1 0.000000
2912 2 0.000000
2913 0 0.000000
2913 1 0.000000
2913 2 0.000000
2914 0 0.000000
2914 1 0.000000
2914 2 0.000000
2915 0 0.000000
2915 1 0.000000
2915 2 0.000000
2916 0 0.000000
2916 1 0.000000
2916 2 0.000000
